spend,impr,clicks,conversions,cpm,ctr,conv_rate,cpa,cpc
3333.333333,87000,241860,727998.6,38.5,2.78,3.01,0.004578763383610903,0.013782077784668816
8333.333332999999,337000,734660,2159900.4,24.7,2.18,2.94,0.0038582025972123523,0.011343115635804316
13333.33333,10417000,1072951,114805.757,1.28,0.103,0.107,0.11613819444611997,0.012426786805734837
13333.33333,10178000,1384208,195173.32799999998,1.31,0.136,0.141,0.06831534547589413,0.009632463712101072
10333.33333,9309000,1387041,159509.715,1.11,0.149,0.115,0.0647818430996507,0.007449911956459831
10333.33333,7434000,944118,97244.154,1.39,0.127,0.103,0.10626174330232746,0.010944959560139727
8833.333333,6955000,897195,102280.23000000001,1.27,0.129,0.114,0.0863640347015254,0.009845499955973896
8833.333333,6901000,876427,97283.397,1.28,0.127,0.111,0.0908000091012447,0.010078801010238161
7833.3333330000005,7321000,981014,129493.84800000001,1.07,0.134,0.132,0.06049193420370055,0.007984935314888473
7833.3333330000005,261000,647280,1890057.5999999999,30.0,2.48,2.92,0.00414449450270722,0.01210192394790508
4333.3333330000005,135000,369900,817479.0,32.1,2.74,2.21,0.005300849725803355,0.011714877894025413
3333.333333,85000,338300,1302455.0,39.3,3.98,3.85,0.002559269481863097,0.009853187505172924
